emotion,content
amazed,@fiercebanana there's relisting fees when you don't complete a sale?  that sucks!
neutral,@eCheers Random has an a
sad,Gutted that the bathroom still isn't free- early work isn't going to happen  . And I need the loo!
neutral,@ddlovato july... too long
amazed,@astynes Me too.  Wonder if Mnet will show it...
neutral,Wearing glasses gives me a headache.
sad,thank you @ddlovato (: cant wait!!!! ummm btw ima crash still sick
sad,"First my work computer, now my home laptop is fucked."
neutral,"@shanajaca But @feltbeats is on page 6 at Ms Twitterworld, only 26 votes"
neutral,sleep....good night tweeties!!! down to OC tomorrow. I hope and pray that Rachyl gets better SOON!!!
sad,@joek949 It's depressing I'm stuck inside all day
sad,i hate being sick. i miss @cynthiasheree @lucyowns and @larilync
neutral,@iceweasel im eating sliders at barjohnnys! (theyre pork tho not beef  still on the search...)
happy,Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year
sad,"Woke Up,I Wanna Stay In My bed"
sad,Upsidedown tomato plants died!
neutral,"friday here at last, not much fun when your skint though"
sad,@ddlovato Caan't Iht Be Earlier? ICant Wait That Long.  Ahar. (:
happy,"Friday yay!! And a bonus, don't have to drive to Wales tonight.  Athough will miss kitten cuddles and going for a ride"
neutral,I don't think I will be able to get out of bed tomorrow morning  we will seeeee!
amazed,I cant use my blackberry today. This sucks.
neutral,the times they are a changing
sad,@prncsztalia why do you hate me!?
neutral,@slickiris video is not available to us foreigners
sad,http://twitpic.com/663vr - Wanted to visit the animals but we were too late
sad,#jonaswebcast i just missed it!!!!
neutral,waiting to get picked up!
sad,So exhausted..can't sleep. I don't like these nights
sad,i'm gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don't have access to the interwebz
amazed,lol i cant drink!!
amazed,"if bill compton has wii, why can't he have twitter?"
sad,@NothinButSin sorry to hear that.
sad,Just found out I can't drink at this bar! Booo missing e1 at palomino's! No cheers sad face
angry,Packing  I don't like it..
neutral,"@Giggles_xo   dang it, so its not certain ? ? ? are you okay?"
neutral,wishes Dave Gilmour and Roger Waters would re-unite for a Pink Floyd concert
sad,finished a whole box of ice cream
neutral,In 1 horse town + 2 blown out car speakers =
neutral,Someone make me a cofffeeeeeee......
neutral,My nose is stuffy
neutral,last night in newport
happy,"Ok, other then my shoe, the club is cool. Its fun, and its poppin except 4 the ppl tryna dance wit me"
neutral,Aright Twitter Fam... guess ima be outties.. gonna try n sleep off some of this horrible pain
neutral,Baby was not herself after recieving vaccines
happy,"@o0hemmy lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it"
sad,@chrisontv88 btw I am not a wimp
sad,@queenbmakeup i can't add you on myspace girly  it asks for a last name and email
sad,I don't wanna go back to work   sleepy time.
neutral,watching The Biggest Loser on Hallmark. Never fails to make me cry  nyeh.
neutral,@zaharh that sucks!  how old are you actually?
neutral,Still confuse...
sad,http://bit.ly/3W9w1  NOOOO! he goes for Orlando! OMG  I'm gonna CRY!!!!!!!!
amazed,@MyCakesRock  AAAAAAHHHHHHHH !!!!!  SOOOOOOOO SWEEEEEEET !!!!!!  I miss that age ..... SOOOO MUCH !
amazed,Just saw a fox!  as i was getting on the freeway... I hope it goes home
neutral,scratch that; sleep on a stage bound.
amazed,recapping on britains got talent. britain seems more talented than america
neutral,@officialTila I cnt get it!! its goin to ur old messages?!?  &gt;&gt;&gt;&gt; HELP?&lt;&lt;&lt;&lt;
neutral,@laurelexmachina Swimming is a no go for me
sad,"@johnpopham Morning John, yes I do, however I have a diary clash and sadly can't attend!"
sad,I miss my friend
neutral,"@duciaestherine ohh ic ic haha, iyaa my summer is filled with ONE Course that lasts for the whole summer"
sad,Yea i just saw this really sad commercial
sad,Hmmm. Using TinyTwitter on a small non-touch screen is really not much fun
neutral,@Joshuah_Pearson
neutral,@ccburns Unfortunately not
sad,Hates having to sleep alone
neutral,@emlevins
sad,I loved johnny carson now I'm going to hate seeing jay leno go
sad,even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn't like us happy  haha
sad,@razitul ya. i was suffering the whole day yesterday. met dentist and feel a bit better. i still look like rocky balboa though
amazed,FINALLY...the internet is up. The server is down in Phoenix and it was fucked up.
neutral,ups ketauan cabut nih gimana dong
sad,I didn't get a callback for the play I cried...  oh well I guess it's back to being a techie..
happy,@UniqueMakis Awesome! Wish I could fly out to see her
sad,@lunafactor I kinda wish I went with you now!.. I can't fall asleep
neutral,Off to bed!! Still exhausted from Vegas
neutral,Took a 4 hour nap after work today and won't be able to sleep all night    This is a bummer
neutral,Loving lil ken and absolutely dreading saying goodbye in less than a week
sad,@Dakshinamurti Not yet... sorry
neutral,HII!! Thatsï¿½meE!! I woke up and I am goinG to SchooL... Why me??
sad,FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited
neutral,asks for karma points please.  http://plurk.com/p/wxnt9
happy,someone take me to LA  I NEED TO SEE THE LEMON TREE
sad,um... so I don't think my text msgs have a &quot;subject line&quot; ... I fail
sad,tummy ache.
amazed,Math quiz: If Meow =  but Allergies =   then Meow + Allergies = ?
neutral,L.A. said &quot;wipe the slate clean&quot; before the jelly!
happy,"@hiracdelest who's the one always working now?  oh yeah, still me."
neutral,@seanpercival Unless that invite comes with a beta key I'm not going to be much help...
neutral,@Johnny_Exp not where i live.
sad,"@askegg I'm sorry, Andrew. I wish there was something I could do..."
sad,as if i finsh work at eleven.. IS THAT EVEN ALLOWD?  cauz i really dont want to.. lol
sad,"@AmandaMallard i'm not at chaseton's either  please don't die, my heart will be really sad"
happy,that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.
amazed,"@pastorpeterko Hey Peter, thanks for the follow. So many Sydney pastors tweet!!! Shame no Bris pastors are on Twitter; we're behind."
neutral,@sha_da_asshole ï¿½ cant im not @ my sister house no ï¿½-net tonite
neutral,"Damn, hi Facebook ? what's wrong with you ? can't add photos"
amazed,"aku kbangun gara2 mimpi @manyolitha, very bad dream"
neutral,4 more followers.. follow me and I'll love you!! *pouts* Please?
neutral,"@textdrivebys i dont even have a WII! b likes xbox, so that's what we have  do you use it?"
sad,"I can't sleep, this is so darn frustrating."
neutral,@thunder_express i didnt get to see it tonight
sad,@stormyamorette just one of those days where loneliness creeps up on you slaps you in the face.
sad,RIP kelly  fucccccck
neutral,2nd to last episode of jay leno  itll never be the same!  nite twitter
sad,Not feeling too good
sad,Ok. Time to nodd off its gonna be a long day tomorrow. Saying goodbye to my car for good
neutral,Fakin' kisha...just my luck!
sad,i miss oklahomaaaaa  listening to citizen cope til i pass out.
neutral,so tense..so emotional...so not me..
neutral,playing the game of watching straight people hook up but can't leave because of another reason
neutral,@daveg38 yeah work today  never mind only one day then sun sun sun....
sad,its funny. i'm kinda sad on my last day
neutral,@heresmyhello92 I don't think it was either. But I can't remember it.
neutral,anyone got JBs live chat vid? i was @ school  I saw joe hug and tackle nick lol
sad,Jenny fell asleep and didn't come over
sad,Wishes you had teased me with movie night
sad,@johneast I've missed one this year(!). It's the forbidden fruit. Of all the trees in the garden I munch in disappointment on that one.
sad,@IvanaE i love it to.. but i knw there gna cut stuff out on tv
neutral,@soonseeofpred becuz you braggin
sad,@JoannaAngel I do  But Im on a strict diet. . . ugh I feel like if i cheat for one day Ill throw everything up.
neutral,@lawikyn ze Franz has not friended me  i think they think i'm a creepy stalker or sommat. Hmph.
neutral,And then you find out today they had there first kiss! }
sad,"So Cal Dachshund Rescue found a home for my foster pup, Max. I'm soooooo sad to see him leave"
sad,wow I feel like ish  and I really feel bad because those ignorent aholes wont overturn prop 8
sad,"off to work now, finish about 9pm  booooo."
sad,Wishes you hadn't teased me with movie night
neutral,"dont know why so tired today  bye, time for beddy"
sad,"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today"
neutral,"@syafique ooh maggi goreng. yums. i cant eat, sore throat cmin"
neutral,@curligirl morning hon. what you having for breakfast? I cant decide
sad,should be sleeping.  lost my voice a couple day ago.
neutral,did I mention my BF bubbled the WSOP employees event after 12 hrs with AA  Working doubles  now for the next 6 weeks
sad,I was too sleepy earlier and i didnt get to see matt
sad,I just realized I spelled &quot;adorable&quot; wrong when I tweeted @mindykaling she must hate me now
neutral,@DellOutletUK But now it's gone
sad,how to have a glowing face? my complexion is always so pale
sad,"Downloadfestival's lineup isn't as good as i thought it was. There are some other awesome bands doing the festivals, but missing DL"
amazed,So wish the Carlton game was on live  stupid channel 7 lol.
neutral,ups ketauan cabut sama @gemamalove @chikachilo nih
neutral,"It's 4pm Friday, he left at 6am Thursday.... surely he should be there now"
happy,@Sashairene hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that
neutral,@talentdmrripley  maybe a good night's sleep for everyone?
neutral,"@_erica Yea, its tough to keep it going. Sometimes I'm not sure its worth it."
sad,oh no my tweetdeck is malfunctioning :O il have web will its fixd
sad,"@ElectraX ...i'm sorry about you are still sick  u know most of them, AND i know that u will guess the &quot;pelzer present&quot; ;-)"
sad,@maliciousmandy1 Adam Samberg + new moon trailor = good evening. Too bad my cable is off as of friday
neutral,Work at 5:45am =
neutral,@anthothemantho Hell yes. I'm too late.
sad,Just got my ass kicked in Tripoly lol  I got such bad cards... i suck
sad,Annnnnnddd another one bites the dust
sad,"on my 42nd written fuck.. i get less ideas every day, and every day"
neutral,"@ddlovato Since obviously living in Alaska, only a few radio stations we get here."
neutral,"Oh noes.  hey, what's my tatoo say?"
neutral,@astynes I don't have a VCR...
sad,@hammett I wish I could have time for my xbox  project all tied
amazed,Wow. That hurt way worse than i thought it would.
neutral,@MsAKAtainment I know right  but hopefully something comes up though
neutral,@claudiuvoicu supposed to be back Sun (via private jet btw#!:o) but mite hav to stay bymyself (thnk god) for another week  &amp; want Bruno!
sad,And trash repops.  Getting it tomorrow night I suppose.
neutral,Huge headache...goodnight!!
sad,feels like crap whenever she lays down. @)(1+-'$#! I hate heartburn &amp; backaches!
sad,@katiefreeze I miss you!!!! It's lonely and empty without you!  http://yfrog.com/3o3zxoj
sad,@lozzyx NOICE. I realised that after exams I have 2 more weeks  Forgot about the whole 2 weeks of Unit 4 in term 2 thing :/
neutral,"I justwatched like, 5 straight episodes of escaped on ID Discovery channel. A guy imprisoned 6 women, killed 2 and cooked them"
sad,Missing Everyone
neutral,its only 0.2! Just give me my 3 points!
sad,My sisser is moving tomorrow and of makes me sad  actually I guess technically in a couple of hours since it's already Friday.
neutral,@ryanhalloran why not?
amazed,No churchill downs for me tomorrow
neutral,to Chicago... but why isn't my ride calling me back?
neutral,"K, goodnight! Gotta do Chuck E Cheese tomorrow following kindergarten shots and physical... Bla"
amazed,Bahh the police ended the party @ 5!!  Just when i was starting....
neutral,I've got to catch the bus to work
sad,@wired that is so sad
amazed,@Jordalynn omg you've never seen 'the Ring' its a creppy ass movie
amazed,mannnn..... @alllyy_ got an iphone!!! im jealous....
neutral,@pegbanditkitty absolutely nothin
neutral,@ecctv If it makes you feel better I lost 10 overnight cause I posted a picture of a baby
sad,is still sick  sigh
amazed,Josh just called me a big bucket of ugly  wish me luck for my audition tweets!
sad,i feel really weird
amazed,@future_perfect I'm trying to self learn photoshop but it's not going so well!
neutral,@scumm_boy I'm sorry  I'm thinking about you and hope the week gets better!
sad,my throat hurts  gonna go read and go to bed. text mee!
neutral,mannnn..... @alllyy_ got an iphone!!! im jealous....  http://bit.ly/NgnaR
sad,fjdskal im really frustrated.
neutral,"@regent_lord Aww, you should've YouTubed it."
sad,Wondering how come mcdonalds take so long to deliver my food.
amazed,"@desdoulas Ya, the weather has been super weird here. It looked like it was gonna rain today but of course it didn't, darnitt,"
sad,"@kenyaimagine ... much more injustice than we can imagine now. It will get worse before it gets better, I am afraid. No doubt here. Sorry"
neutral,Will miss nostalgia ... everyone please kick tushar
sad,Sooo.....I'm kind of sick n tired of the bs that guys dish out  !!!!!!!!
sad,"@StarOnMaineSt idk lol my head hurts. rly bad. &amp; so does my stomach... hmm... personally, i think its from all the #s ive had 2 deal wit"
neutral,says good (or should i say bad?) afternoon!  http://plurk.com/p/wxpdj
neutral,says I've got number 10~  getting low~~ http://plurk.com/p/wxpdr
amazed,FUCK wasting deodorant... i aint goin no where... i aint havin company  let me funk it to ya!
neutral,@summer_eyes I wish I knew!  The curse of Tumblr.
sad,what a beautiful day - shame I've got to spend it in an office
neutral,Business exam tomorrow
sad,Just finished watching the series return of the Chasers War on Everything - really quite crap compared to how it used to be
sad,Wow just realized haven't checked Twitter since 9am when I saw my to-do list. Good news- got lot done. Bad news-don't know where day went
sad,http://twitpic.com/664b7 - miss my bestfriend :'( now she left school
amazed,OUCH! my earphones just shocked me
sad,Tummy hurts
neutral,back from grimsby  it sucks bein back but was amazin wknd anyway!!
sad,farewelling an employee tonight...
neutral,"@allysonalfonso haha, its under 18 :@ so ive got no one to go with  curse none of my friends liking TAI lol"
sad,"Morning all. The water heating's packed up, so i can't have a bath. I REALLY want a bath!"
sad,@heavenlyriot Girls are confusing.
sad,@ lyrically_Me   Why would you do that to me?!
sad,Blackout in the city is never good
neutral,@angelazodiak Aww maybe i traumatized her.
happy,"@wedplanworkshop . Flights already booked, plus its GGD2 1st birthday. Can't miss that ! especially as we missed GGD1"
neutral,Ugh. Too much happened today. I really need a hug
neutral,@n3rin3 Ur pic is gone
neutral,how do you twitter?
sad,@half_a_mind Chris and I are staying in Glasgow instead cause there is absolutely no accomodation in Edinburgh due to the marathon
neutral,@JWess awww  ok lol hopefully by than im still here and not back over in the states
sad,@t_isfortammy Sad tweets are sad
neutral,@djcoombs not at my workplace.   but a short-sleeved shirt is absolutely necessary today!
sad,Have decided I just can't stand @GuyKawasaki's Alltop spam any longer.
sad,i miss rich
sad,Headache of the century coming- I can feel it  Fuck.
sad,disappointed to know that I got the Silver Award. I want the GOLD award. I hate being second best.
neutral,does anyone know how to convert 6 est to Aus time? ROFL xD fucking radio disney
sad,home from ice cream tweet-up (my very first tweet-up!) No pics because my camera battery died last night and i forgot to charge it
neutral,@sakshijuneja ok that's subtly saying i'm no longer a fave  temme 1 thing - did the firangs steal your vocab? ur eating words and how!
sad,@narain Dun wanna travel all the way there for lunch now. But yeah i have been there. Nice place. Missing Shan-e-Punjab though...
sad,@xMyLifesAStoryx rob got lucky that game he beat me 209-205
amazed,Bah I don't think @bing's FB fan page will get to 7500
sad,home from school had the shitest day today
sad,"@hobosexual lol.  When I went to buy my new laptop in Feb., I already knew, lol, but I looked anyway and walked away sadfaced. :/"
neutral,FYI no internets until THURSTAG!!!! after saturday  i have a feeling i will become 800x more productive during those days.
sad,Sitting by myself. Everyone took the good seats.
sad,@sfannah Ahhhhh  Well at least I'm up to!
sad,@DHughesy ME! oh wait wrong state
amazed,"It's fucking cold here north now! It was like 77 DF yesterday where I was, here it's 37,4"
happy,Are u missing ur frnds ? Hear to &quot;Manasellaam &quot; From Kulir100 Degree movie. Its amazing !!!  Nanbargale - Miss u guys !!!
sad,Sorry was that mean
amazed,Dogs eyes seem bad. Just forked out on new washing machine so why not a vets bill to top it off eh?!?!
sad,"@rscheuer sorry, is only in spanish for the moment"
neutral,I signed up for an account on a political website so I could post a comment but it isn't working.
neutral,How Come I Can Never Sleep Past?? Not Good
neutral,@typicalrouse I would but its like 1800 or 1000+ miles  gas prices are crazy im doing alpine next summer most def
happy,@cha_rade oh no the economy gotcha?  sorry but so happy that you got another one in LA!  Enjoy SoCal! Ahahaay! LOL
sad,has had the flu pass unto me by andy...went shopping and got fresh chicken for chicken soup...but no d&amp;d this sat ...is a sad panda
neutral,has an exam at 10am - I slept about 3 hours last night
sad,not well
sad,@Miss_Rain oh what the hell  way to tell me.
neutral,Wish I lived in or atleast relatively close to Ohio!   Haven't seen @SmallTown_Troy or @Derk_McLoven in almost a year.
sad,@theblackestsea oh crap!!
happy,so carlie came over and she fell asleep on me
neutral,@3Gguy and within a short time of the last clue all of them
neutral,my phone still doesnt tweet
neutral,"@blindcripple Good idea Brain, you can't not be on Twitter..."
sad,@shaundiviney i didnt get the msg!! :'( but i bought princess
neutral,@mrskutcher just checked library website and girl with dragon tattoo is checked out
amazed,"@movewithme lol ik they are, but i figure i've kept it for a year+ without needing virus software or to get it fixed  sigh"
sad,"I'm so unhappy being here. I hate it. It's affecting everything. My relationships with people, my personality, my attitude..."
sad,"There's Nothing To Do Right Now And I'm Tired But I Don't Want To Sleep. Cleaned Up Pretty Good, So Proud. At Least I'd Be A Good Janitor"
sad,@Madush oh my... now im offended.  ha
neutral,I'm at work
neutral,"@portugaltheman @liftingfaces Where'd the songs go on the site, I want &quot;Do You&quot; on this computer too"
sad,The 3d version of Up sold out   regular version it is!
sad,@NickTheIntern my love!!! We still havn't done lunch together like we said we would.. I miss you my friend
happy,"To all my friends: Im deeply sorry i'm moving, i will miss u all so very very much!"
amazed,Where is my bestie when i need him @iAmcertiPHIed
neutral,@CheetahmamiBia oooo ok   why  havent you accepted my friends request
neutral,just got home after killing a possum
neutral,... that's all
happy,@allyycase suuure
neutral,@anshprat yahoo maps! lots more to desire #yahoo
sad,now aches &amp; chills have joined the party. Why couldn't the cold just go away? It had to get worse?
sad,bed. with stomach ache
neutral,"facebook quizzes are one cure of boredom haha, my teeth/mouth hurts"
sad,lappy charger is completely dead... conserving what's left of the battery until i can afford to buy a new one
sad,finally accepting the fact that all cute guys are taken
amazed,Summer Glau to appear in Dollhouse next year http://tinyurl.com/mnrezc... I still can't believe they won't renew TSCC
neutral,@debbylovespr I've got one too  though i think mine was attributed to the seizure inducing color/light show in the movie The Soloist.
neutral,goodnight everyone.
sad,@HazelAngeli @V0TR0N  too bad Vo got me sick I think  &amp; I don't even have meds to feel like you.
neutral,@IsaGoksu  http://yfrog.com/11z2ip  nothing there
sad,Honza takes his flight back to the Czech Republic in the morning  I'm really going to miss him.
happy,ah thats better snow patrol! now to be stuck indoors  still weekend coming up and fresh air excellent hope its sunny!
amazed,@FriendlyFetus cause they changed man....
happy,"up early again  loads to do- but the suns out, hurrah!"
neutral,"really, realy want a netbook. mrr. Techno-lust sucks"
happy,@BevJack Babes it was sooo much fun!!  Thank you so much for making that happen!  Had fun with the ladies too!  Time went to fast.
sad,Matty is le tired.
neutral,@RichardGiles mine pools... just in someone elses pocket
sad,@NellaGrl not really having a good night... missing my little girl...
neutral,@ndrew10 I know!!!! He didn't ask me
sad,Nite Tweeple.  Tomorrow will be day 25 at work.
neutral,@MrsSOsbourne Ozzy isn't following you yet
sad,Ahh man up and getting ready for work  I wanna sleep!!!
sad,@JasmineCJones  I was just thinking the same thing! I love our morning chats! We totally need 2 live 2gether full time. Lol
sad,Wish I was at sri panwa now
neutral,I hate TweetDeck when it reaches access limits
neutral,@ANAIZZ you might want to get some rest...i promise you wont retain the knowledge sleepy
sad,"wants to listen to musiq soulchild, but it is not on the iPod"
sad,i miss seeing fireflies.....
sad,@Brookeleeadams hang in there- health should be priority #1 right now! i do hate seeing good people get mistreated so i'm genuinely sorry
happy,@ColeDavid had  a little family party tonight   hope it rocked
sad,Had a awesome time 2. Got2meet brandon rhyder! Unfortunatly i can't sleep n tomorrow.  back 2 the ole job. @pattymlt got my game face on!
sad,@Saresa And I feel your pain.
amazed,"My Pandora is hitten hard, why can't real radio play great music like this"
sad,2orw!!!!! Nooooooo I want to go back to Newcastle!!!!
sad,"bout to watch notorious cause that's how i'm feelin now. wish i could eat something, but i can't.  surgery tomorrow. no food til saturday"
amazed,Where are all you Motivated/Determined/wannabe sexy successful young professionals!??! I might really have to join a BNI if there is no1!
neutral,"@Wolfie85 @christelmcr Ah  sameway Yet,@mikeyway has 2006 votes ((.We need more vote :'D"
neutral,I want a Monte Cristo sandwich sooo... BAd!!!
neutral,Just finished watching &quot;Marley and Me&quot;
sad,@Jessicaveronica you guys gonna tour with Short Stack again? I missed your last tour  Me friend went and said it was mad!
amazed,@hudaaaa eeeeeeeeeeeeee i jealous sia i didnt get to seee
neutral,@GeoffComma no fair
amazed,arrrgh. i'm bored. so bored. there's nothing to do except slouch at the computer all day long.
neutral,"Nina was on my lap, but just decided to jump off"
neutral,"the swine flu is in robina, gold coast"
sad,I'm going to miss Miss Suhana
sad,Why are the sinks in hospital toilets so low? Now the crotch of my grey suit is spattered with water! Just in time for Physio
amazed,"@mandy2610 and @esko yea, just confirmed that this game indeed is already patched...  LOL guess you'll have to help me tomorrow ;)"
neutral,Def wants to cuddle it out maybe play but has no one to do it with the bc is far away
neutral,Gotta go back out there.
neutral,I don't remember what i text to twitter to get a list of commands  halp
amazed,Gonna go watch Shorty Street &amp; then prison break marathon then bed maybe. Nobodies texting me!
neutral,@gettothefalcon i miss that too
sad,I should go get a life. Sam just texted me 'Phuture tonight?'  http://sgBEAT.com/pic/81/
neutral,I cant watch anythgin till tonight
sad,sad that will have to leave my beautiful apartment
amazed,"gonna dream about my prince charming tonight, n see if everything goes back to normal. I really hope so   &lt;3"
neutral,"@workhomexpert Nope, re-reading it all over again.     No offense meant"
amazed,wow i have no friends on twitter
sad,@greco31 I've been trying not to think about that!
neutral,Jay Leno has one more show left as the host of The Tonight Show
neutral,@TLuke08  sometimes going and doing other stuff cures that
neutral,..i graduate today
sad,Waiting on the bus! I miss my car
sad,"says I'm still dreaming about that Nikon D60..erRr!  *ate, kuya **PLEASE** lang* huhuh http://plurk.com/p/wxrx5"
neutral,@504chucky whats with u hating on becky soo much? ur bio says ur nice....guess not
sad,It is kind of lonely when nobody will answer their phone.
sad,Rest In Peace  ADaM 12 &amp; GLeNN EPPS.... Gone but never forgotten... what a week ...Loud in da air 4 ya
neutral,@Salamandroid its not just you - its properly dragged this week
neutral,looks can be deceiving
sad,"is having the worst week, things really do happen in threes"
sad,@katrinalmoreno and im an idiot for missing their last show
neutral,Week-end is over and now it's time to get back to work
amazed,@Katarinea Oh wow  ouch...
neutral,"Summer is about to end.  For some, it's just about to start. Hahah."
neutral,"@toddh3284 T, im sooooo bored right now"
amazed,@ruthchu wat the! you were in riverside??
neutral,@CHARITY_GANT popularity contest and they think twitter will help.... and it's become trendy
neutral,madd bored
neutral,My wife can't get on the guest list for tomorrows show because it doesn't exist. LAME. I guess no wife at the show.
sad,@chuybe. you left me first .. and left your bed here for me to look at
sad,"Bike trail - 1, Miss J - 0, two front teeth - 1 1/2.. Hopefully! Vacations suck!"
neutral,@jesssicababesss @IvanaE @RachelLock22 DECEMBER... thats like a year away...
sad,Sadly I am bprohibiting myself from tweeting tonight. Sorry
neutral,Ugh cant sleep on  this bus.  still have like 5 hours
sad,"@kesoleil Oh man, Did Yogg today. Worse than last week."
neutral,Alcohol does not promote weight loss.
neutral,is up too early
neutral,3am i still cant sleep
sad,@anant25121986 it is so unfair that all the good rock shows happen only in B'lore and Pune
amazed,@sydthekid why are you sad?!
neutral,Going to a wake of a dear friend Marlito Sy tonight in Novaliches
happy,I miss the concert Tuesday already. I'd really like a time machine to go see it again... It was so fun...
sad,cant sleep again! I couldnt sleep last night eather!  *Wabble Wabble*
happy,hahaha yeah i see that. but he can't twitter me back
sad,"have to stay away from home, and since this part of india dnt hav gud wireless internet, im fucked"
sad,Wookei why did you never accept my psn friend request
sad,@davidaKaplan As do I  Leopold says hello.
sad,because my dad has the tv to loud. Then i get creeped out cuz im from a dodgy neighbourhood and there was someone in my bush.
sad,"cant talk very well, just remembering about something once said to me...  not a good thing fucking bully nasty pieces of work arrrrgrrrrrr"
sad,@tiataquito you stop it
happy,Watching Jay Leno's 2nd last Tonight show   I haven't gone a day without Leno in like four yearss.
sad,just got home.. downtown was dead.. plus im kinda under the weather and i gotta get up for work tomorrow
neutral,i sooooooooo dont want to go to work today to nice outside.
sad,"Yesterday a friend of mine was thrown off his horse as a lorry drove past us, ignoring us signaling for him to slow down"
sad,Ready to go into work now.  cannot be bothered.
sad,"I hate working nights, cos I'm not really able to enjoy this gorgeous weather, as I will be asleep"
neutral,need a camera blower.. my camera censor is dirteeh..
sad,i really should stop relying on my family when they say their going to get me lunch
sad,"Changed my hairstyle,but it isn't good as it supposed to be N don't wealth that much money..  hate that hairdresser~~"
amazed,@niccoqp I miss going to EK every summer &amp; christmas vaca  Take me there!
sad,@_erica I know right
sad,@roshnimo yup .. sad eh .. Betty man .. it should have been betty
amazed,they shot him  he was still alive too...
neutral,S'acaba la setmana del rap vintage  amb la millor: MC Hammer - U can't touch this http://open.spotify.com/track/1B75hgRqe7A4fwee3g3Wmu
neutral,... Money money money...      http://twitpic.com/664uz
sad,@polyap POL! Is this song from a new album? I am really missing out on UdD!
sad,is tired of summer already
sad,feels really sick.
amazed,@runhipporun just took the Terminator trilogy :-D but what I need is actually TV series and I still can't find anything tempting
neutral,walked home in the rain.
neutral,@mvermut translation = complicated sh-t that someone is going to have to teach me
sad,@Trentskers Pfftt... I wish. Don't have time though.
neutral,"bored, nothing to do"
happy,@assembled ive been there before  haha
sad,"Mom asking if I'm feeling better after dargah visit. Dad swears he sees +ve &quot;change&quot;.  I am amused.   But yeah, still depressed"
sad,Their songs make me want to cry..
sad,@AshleyGofficial aww dont cry ashley
amazed,"Oops, they don't open until 9am"
sad,My siblings left me alone.   Bored. (:|
happy,"i have the biggest headache right now, i washed my hair wif mum's shampoo and now it's gross  i like my shampoo way better"
neutral,@PorkChopJones Sorry   move back?
sad,In the bus... Almost an hour late because of my crappy alarm clock  should be in Leeuwarden at about 9:45
sad,I wish my grandmother had taken me to the US with her
sad,@noiselesssound I just heard that Regina girls song @ les deux! And I think u should/have 2 come back 2 mc! I miss u
sad,"bummed i didnt get to see manchester orchestra bc it was sold out, i spent all night buying tv shows on itunes  lame"
amazed,@valdivia1 what about me?
sad,"Well thats me for the day, watching Panthers tonight beat the Saints (fingers crossed) cause there are no QLD teams playing this round"
neutral,@_anniemay OMG No fair
sad,"@Krista_Watson I can't this weekend, sorry  And Steph is working."
neutral,"@RockedByPickler no I won't honey I got mad yrs to go , why am I crazy?"
happy,"Heading home now, yay! Was going to buy a much needed bottle of wine to drink with dinner, but my wallet is MIA so no wine for me tonight"
sad,just got home. im so effin sad
sad,@lizz_xx cheer up lizzi there will b another foh hero concert   but still i suppose we can b upset  xoxoxo
neutral,Got back and putting in the laundry. We got in there last  o well as long as its clean. #DSAA09
sad,"@zackintoys Sadly, it doesn't  I was so hopeful after American Doll Posse, too ... it's just so blah and vacant of dynamic."
neutral,Brake time!! Nothing for lunch. Tonite.
sad,@MommaSalty ...that's a miserable afterparty report
neutral,rented bikes + unknown trail with random bumps + big hills + kids = one beat up little girl. Not a good day on the B family vacation.
neutral,"I feel like ive done the London marathon, I ach all over"
sad,Not excited of blowing out another candle today... [as when I was a kid!]
sad,sigh....it's always so sad when you watch the series finale....no more green wing left to watch
angry,I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.
sad,Got the BrainBone daily question wrong!  - http://bit.ly/11dd2T
sad,The fam back on the Big Island said the vog has been so bad that they can't see the ocean. Sad!
amazed,"NOOOOO! serena and darrian don't remember each other, and i've been waiting all day to see them confess their love"
sad,"A sunny morning in the Big K, with lawns to mow and a 2 mile to run to attempt, urgh"
neutral,@DantiChos baby help me with math
angry,&quot;locked up abroad&quot; makes bein half brown good risk mgmt when travelin 3rd world. i blend. i feel sorry for my hostage magnet white pepo
amazed,@bskeete87 THEN Y R U LEAVN???? STAY!?
amazed,"@destinyeyes i'm sorry! lol i have never had, like, actual time to spend there unfortunately. everything's always been INSANE when i go"
amazed,"@Potato_Chip That's right! I totally forgot. Might not be till August, though    Have a great summer!!"
sad,@USOuljah Ohh Emmm Geee. Souvlaki from Dimitris...I wanna go homeeee  LOL
sad,Wants milk
sad,@madeleinelaurin whys your cat in pain?
neutral,Epicfail and Joseph in class... Very long liao
sad,aww my poor tank friend.    his guild is fucking him over after promising him main OT. he barely even gets to go now.  ;_;
sad,@franksting yeah... it is very very dry down here
neutral,the physical. It's coo now i know. Just lettin off some steam.
