emotion,content
happy,@ce_ci ewww poor you  wish you all the best! thank God there is Rolland Garros this month isn't?! ;P
neutral,Wants to go home
neutral,@allisonfelmet What's wrong?
amazed,"@xFrankieMonster haha. lucky, I havent seen it yet  It fucking sucks ."
neutral,@PassionMD i keep thinking about FOOD! i made myself some tea
neutral,I'm not feeling this weather today where is the  Sun @
neutral,I hate the dryer.
sad,"@allysonbrianna Well, yeah. But my mom doesn't wanna drive all the way to Sac if we were that far away."
sad,"@HimOverThere awww, poor leg!  *sends virtual hug* x"
sad,too many good shows coming up and no money to buy tickets. fmfl. brand new at the troub?
neutral,@chelseachase if i had a car
amazed,@ericajo42 @saynerd01 oh look! it's our new house in santa barbara! http://i41.tinypic.com/2hi2t4y.jpg  hahha i wish
neutral,@LDYoung I like them.  Is that weird?
amazed,after I said hi how are you she did at double take &amp; left. Damn it I should have let her look around first
neutral,night to @applecored - the light dims as you leave the chat room
sad,fucking hates goodbyes
happy,"Prayin for dad  in Wellington, FL http://loopt.us/F8_Jqg.t (via @furman27).  I too live in welly. May i pray f.. http://bit.ly/lB9SN"
neutral,working until10
neutral,Bloody intrusive thoughts. I'm really going to bed now
neutral,phones about to die  ttfn!
neutral,@ceciliabedelia i know so lame
amazed,There's a huge bulldyke eyein me
sad,Missed the play
happy,@loonyboi You rule for doing this! I bought the second game at full price and lost it in a move.
neutral,@britneyxsucks I hope they come
sad,My head hurts
neutral,@ShropshirePixie opps try that again the keyboard is all back to front  Mac to PC and back madness really Chef
sad,"whatever. i give up, my phones about to die anyway.  next time"
sad,@suewaters Sorry - I have failed to grasp your meaning
sad,"oy, im such a nerd..im writin 2 no1 cuz no1 is followin me  i mean lik sum1 was but their account was deleted due to &quot;strange activities&quot;"
amazed,"Oh, I forgot. They weighed me at the Dr. I am at my highest weight ever."
neutral,@Emmaloveshearts Gross! haha it was like the tiniest piece ever but i can taste it like i ate the whole onion eww
neutral,"@dr00ness I wasn't  I was with the bf at the time, and am now omw to class. What is this new Kaggra,?"
sad,@xchristineannx Aww I'm sorry your boys are sick.   I'll keep my fingers crossed for no tails. lol Stay well youself and get better boys!
neutral,Have to go to my old house and finish moving.
sad,Looks like its another night at the office lol
neutral,@CarlaHanton yea it is.  thanks for the link.
sad,"When you see me, point and laugh. I'm ugly."
sad,home alone on a friday night  doesnt get sadder than that folks
neutral,Grrrr....I got the wrong size coat for the sheep
sad,needs to see a band live.. damn Blink for not coming to the UK this year!  ..anyone wanna go see Billy Bragg or Colin Blunstone with me?
neutral,"Beers &amp; whiskey = awesomness, work in 8 hours = sourness"
sad,@Jaz_paige aww hey! I didn't know this was you! LOL. I'm sick. No outtie for me.
sad,@teemwilliams MICHELLEEEEEEEEEEEEMYBELLEEEEEEEEEEEEEEEEEE *snif snif*
neutral,missing Tim!
sad,Not in front of the tv  wats the score an inning??
sad,"ok, son in bath, so gonna see if I can find some quick quotes.  Gonna miss ya'll this weekend. I'm already gettin sad"
sad,"Oh dang! 'Drag Me To Hell' came out today, didn't it? Man, I wish I remembered; I would have gone and seen it."
sad,@Trillian711 I had an account at a local comic store that I ran to 4k  at one time
sad,How amazing is hollyoaks! But my poor warren lmao!
neutral,@francaiskitty I miss rollerblading down Shoreline.
amazed,@szsz Wow- you are sharing some of my long list.
sad,@backseatgoodbye aww...thats a bummer
sad,"@Nextman305 I wish, but nah babe back I home in the ATL"
sad,Missing the shotgun match because I was guilted into going to the store with the wife.
happy,@LadyRedCrest @miss_hazy  Have safe trips! And Indy is my home
sad,@snoozen i think i'll be home more than i want to be next week - no work booked in for the forseeable.
sad,I'm soooo bored. just fuckin got a new phone and called my man but hes busy and one else bored???
neutral,At my cousins wake
sad,"Just to drive @tweetie crazy, I miss the big blue selected tweet highlight. I can't tell which tweet is selected anymore"
amazed,@XcourtneylisaX well i really cant belive that  xxx
neutral,@enithhernandez I apologize for the trollcat crap. I misunderstood the concept
sad,@PaperCakes  i hate when that happens. i hope you figure it out soon!
happy,"@Gemma_Rigby Well my neck hurts from moving out  you massage me, i massage u?! lol!"
neutral,"All dressed, showered and clean-shaven and I have nowhere to go on a Friday night"
neutral,@Shangstavic ill come to the shop in like an hour. i need to get a pedicure but i dont have time today  probably next week tho!
sad,I fought Jered to the death to avoid a wet willy.. but he got me anyway.  Q is coming over.. bike ride?
sad,"@katrchrdsn Without whipped topping, there is no shortcake.   #shortcakefail"
angry,FUCK. slept in
amazed,@ineska awwww this made me realize I have to take down my bulletin board too!  There's so many memories up there.
happy,@dougiemcfly good show for you guys .. i wish i could be there to see you
sad,i dont wanna miss the laker game tonight! i'm so sad
sad,@krooyakkers what I thought ur going somewhere that's why I didn't invitw u
neutral,@akte does this mean you're leaving me?
neutral,sold out
sad,heading to graduation  I do NOT like this....oh and Nick....I'll be looking for you....
neutral,Who'd have thought Wallace &amp; Gromit and the team behind Monkey Island could have combined so disastrously?
happy,@KelseyJ_xo  hey chick u alryt u at dads tmoro we sud do sumin aen like last week we neva dun oot this week lol  missed you ha bye hun xxx
amazed,"my house is so sad looking without all of the furniture, air mattressing it for 2 nights and then I'm officially moved from Knoxville."
neutral,guess i wasnt on next. now im in 2 songs. 3 guys at stage....one looks like my dad. ones mexican  and then some chubby bald guy hahahaha
sad,i called kris he didn't pick up i feel really bad ha ha
neutral,me salvem
sad,I guess the relaxing dinner and a movie is out for tonight...I was looking forward to that after my day at work
neutral,@supjoya they really do. it is a crying shame.
amazed,@Izzy_Cullen oh really!!! i've already put all the pics up!! sorry!!   http://twitpic.com/61oj0
amazed,@dkmashino couple days?! Sheeeeit. Wish I were there. Have something at Cafe Claude for me.
sad,Ugh have to report again monday
neutral,@DonMcAllister very long by the sounds of things... But deadlines are Deadlines...
neutral,Ok so I've now got a bit of a bad back after lifting all drum hardware into my car   downer.
neutral,@mr_craig Tried to follow one of your #FF recommendations but &quot;have been blocked from following by request of the user&quot;
angry,"my sisters fucking pc, just blued screened me"
happy,@DelbertShoopman Good luck with the footage - none of the stations are breaking in live with it
neutral,@mitchelmusso i keep trying to get through but i cant
neutral,@Media_Molecule where is Sackiroth
sad,@dinosuit  Idk. I'm only a stupid 7th Grader
sad,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now
sad,@GrowWear Unfortunately for us it looks like there are NO funny people on twitter  Should we move to FB or start our own...flitter
sad,Upset  bout to talk to someone but idk who though
sad,@tbake CRAP. I always forget you are on here
sad,"@psylentmike haha! you're so funny, Mikee .. you're probably the only Mike I'll ever like  *sad thoughts*"
sad,Damn I wish I was at Botcon with everyone.
neutral,Okay one of my ears popped so now I know what everything sounds like and everything is reall loud
neutral,Nothing to do tonight.
neutral,"thers not many peole tweeting tonight... well suppose it is friday...evry normal person is out partyin, but im skint"
sad,"The internet is just being a big fail for me today-- not only is Twitter its usual semi-flaky self, but Facebook and VRBO.com, too  Boo!"
happy,Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying....
happy,@KennyJ88 that was good . but mean  haha
neutral,@mitchelmusso I want a call from you.  GO MICHIGAN! hahha
amazed,@nicca_ no idea what that means bb
sad,ugh... my back is killing me.
neutral,Rain is moving in from the west. Thwarted plans for a wee nap outside
sad,"@MaidMirawyn I was supposed to go tomorrow tooooo, but have to use gas and ticket money to pay for car inspection fee."
sad,Is at work
sad,Bored to tears without my boys! They are at their dad's for a week
amazed,@igotyourcrazy waaaaayyyyy too hot for that
neutral,anybody wanna comment me?  http://fotolog.com/sokristen
sad,"@totalgunner Nurofen and marijuana, usually. But I'm lacking the latter currently."
neutral,@hkygrl12 So I'm not seeing you this Saturday?
neutral,Ahh! Members of the toasters and @dubisaweapon playing with void union! Sick! I missed @royalcityriot and we are the union
amazed,"At this point, I'm gonna be left here with only Tommy. He is no prize."
sad,I'm sick and sad .... missing out on Martini Lounge tonight
sad,Going to have yum dinner then watch 'bad girlfriend' play. I have a 6am call time tomorrow
sad,@RobertPound not my groom!  think i'll die an old maid! lol
happy,Here's a big moan for Dave Leyrock... IM UP IN 8HRS!  pity me! Coloursfest ahoy xo
neutral,I is goin to bed now
sad,"@naontiotami No, but I missed you"
neutral,@LylaMeganMarsh what happened to all your sexy quotes?
amazed,@MarieTuckerVA busy wit work  how is your business going on?
sad,Can't beat all time low.. (: I soooooo want to go to Metro Station..  Your cheap shots wont be able to break bones
amazed,@mitchelmusso its it done?
neutral,@telltammy I tried both. @twittascope is unstoppable.
amazed,@itsbecca not playing here either
sad,"this is the worst day ever, i've been told im a chav"
neutral,@mitchelmusso is it done?
neutral,Well it sounds like sum kids with matches lit sum grass on fire
sad,theres too much light pollution to see the stars
neutral,i really miss my satan kitty
neutral,My mom said I eat a lot
amazed,@juicystar007 Pleaseeee im really tired and stuck in waiting room for 2 hours  midnight in england. hw much money do u get a mnth?
sad,Im not friends with anyone anymore
neutral,"Bears, beets, and... shit, never mind   How about SG1, take-out, and wasabi vodka with ginger ale and lime..."
neutral,@__Jazz__  nope. Back to 8weeks .... *sigh*
neutral,i hate stupid boys! arrgh
sad,"my friends are in San Pablo right now... they'll be drinking, laughing and swimming... and iim here....  huhuhu"
neutral,i should have run today  but i let my slight aches be a bad excuse    i'll make it up tomorrow go 5.5
happy,My whole life has come to this......incredibly amazing
sad,Aw one of our fishies died
sad,i give uppp a hour of tryin to tlk to @mitchelmusso  i love him but my minutesss lol
neutral,"@joyquality Yeah, but not always."
sad,my puppy is sick
neutral,@RyanKil did you not think of texting me that!? I've just read it now lol! Figured out the html on my own.
sad,@mitchelmusso Hey Mitchel when will you be live again? I didn't get a chance to call you
neutral,I forgot I moved 100 east...make that 8 hours home.
sad,@misterperturbed I ordered a replacement palm centro cuz my phone got kill't! I wanted a palm pre but cant afford a data plan
sad,@selenagomez we'll miss you! I'm sad I didn't get to meet you
sad,my dark knight dvd is missing   i'm pissed
sad,Sorry for the delay in publishing this weeks show  Some technical difficulties during encoding. Will be out asap but may be Saturday.
neutral,@mitchelmusso!  i called and called. I think you should answer more. haha
sad,i wish i was in cali wit mari nd lupita seeing vfc  not fair
sad,I feel like my dream just got crushed
neutral,@dmFinley Hey you!! I have been trying to reach you for a couple months now but umm certain ppl will not tell you im looking for you
neutral,@Raadius cuz ima always late haha dammit she got me good
neutral,been awake 19 hours
sad,Home w/bae &amp; Myka.. He's so meann
amazed,oh dear! gareths b-day 2moro all my girlfriends are abroad  lucky niamh is coming home 2moro poor gareth has 2 listen 2 me talk all day
sad,had my last class with Scott and Julie today  going to miss them... they bought me a bottle of champagne as a congratulatory gift.
sad,Hmmm... he's so lovely. I wish he was here now. I'm tired but can't sleep
sad,@finellskii have fun!  i am sad to not be with you guys
sad,@JayresC: n u can't change your profile backgroud neither
neutral,@MissSnoozer it will show up after awhile.  Mine took an hour
sad,absolutely gutted that i'm not going to badu tonight.  you guys have fun...! just got home and need to head downtown now. gd this heat!
sad,@Boy_Kill_Boy That would be really great....except im not allowed to talk to boys on the phone  long story...my fault
amazed,wow 2 months since i've been on twitter... supposed to go see Maat in PA but the James is sleepin
amazed,Just realized I hold a membership in the gym - saw my bank statement
sad,AT&amp;T cheated the system and now I have no Green Day tickets  Damn you AT&amp;T!
sad,It is Gloomy outside. It is making me sad  I miss the sun and its happiness!!
happy,@StoneBrewingCo um... thats my favorite beer!! why must you torture me so when I can't make it down there!!
sad,@djCrMix it's been raining every single afternoon in S.Florida  not fair! hehe
sad,"@TheStevieOs Yes it's herrrrr.  Dude, I'm gonna fucking cry."
happy,to the doctor  anyone wanna do somethin after for a bit?
neutral,@mitchelmusso
sad,@2Serenity No FAIR!
sad,"@mitchelmusso I'm so sad I missed your calling time, I got home from practice too late"
happy,"Going home to enjoy what is left of the day - I can't believe how quickly this week flew by, no time for tweets"
neutral,"I can't believe Clinton and Bush were both here, doing a seminar together and I did not go"
neutral,@kofoswagnificnt no b only u! Slept off missed my ride and so chillin in d telly on a friday night.
neutral,@killerannax now vickyt is losing to demi AND miley
neutral,@gerardoudi hey Gerardo! (late response) that day i was talking bout forgiving my brother 4 givin me wrong directions! i got way to upset
sad,OH NO TODAYS JAY LENOS LAST SHOW!!! WE'LL MISS U MR. LENO
sad,@jjooss I think he is :[ wish we could give him a tear or some blood to make him feel better
neutral,"@cyan1234 I gotta leave early again, like 7:20"
amazed,@mitchelmusso i waited for like an hour and i never got to talk to you
neutral,I don't think so  what time are we leacing
neutral,Mr amp over heated
sad,Gonna miss Thick As Blood next Friday
neutral,going thru bills
sad,"@ivansharris Hey, where do you go last night?  Was expecting to see you @ On Broadway."
sad,It SUCKS when my playmate is MIA all weekend.  Sad
amazed,Did it just start to thunder out of nowhere??
neutral,@brittaniethekid I GET IT.  YOU ESPLAINED IT TO ME AWHILE AGO.
neutral,Guess I'll take a nap
amazed,is missing her best friend..... and i only saw them this afternoon  How sad am I!!!!
sad,@siwhitehouse Didn't work for me  Except when I used the word autofollow and got followed by an bot selling an autofollow program.
neutral,@ElZorro: &quot;&quot;UB40-&quot;Bring Me Your Cup&quot;&quot;&quot;  ? http://blip.fm/~7af72
happy,@MsHollywoodDiva hahahaha your watching 106 too... i miss Oceans 10...
sad,Kill me now I'm so sick    n it's Friday night!!
sad,@brighternoise really??
sad,Nothing 2 do 2nte  Boooooooo! I'm totally bored!
sad,I'm bored. I have a headache.
sad,@amalah I am very jealous.  I was supposed to go see it in Seattle with a friend this summer but she had to bail out because of work
neutral,"okay, i'm out for a while  back later!"
neutral,@FernShadow I'd just plain go crazy
neutral,@ punkrockchick25 Haha no i just saw a commercial for it. . You wouldnt kill me
neutral,still cant figure this twitter thing out on my phone.  i dont have the iphone.
neutral,@Pointman24 I always yell TRADE ME when I see old people with super nice cars. I have an old people car
neutral,"@LorrisB As appealing as that is and the fact I would hop on it pretty quick, I dont wanna impose on your sacred bday hun with ur friends"
sad,the tip of my finger hurts  lmao
sad,my tummy kinda hurts!
sad,i feel extremely depressed right now.
sad,My head hurts....  Can wait to see the new photoshoot!!!!!!!
neutral,i wanna go home
sad,sux gabe just told me to go to the afterparty and I have ID that works but I can't go
neutral,The Life Of A College Stay At Home Mom: Delay in the Bash  http://bit.ly/CnyhP
neutral,"@mjvarela black is good... tight, or should I say too tight, not so good."
neutral,one year since I met matt corby
sad,Ugh I'm tired
neutral,@selenagomez aww  cant wait to have you back in LA! &lt;333
amazed,@KDVCashville omg that was my twin sister's fav song
neutral,its too early to be up
sad,A simple nice dinner doesn't exist in my world.
sad,last day of school  so sad
sad,Johnny actually invited me to the movies but i have too many things to do before the concert
sad,"@kraeth She really loves that ride, doesn't she?  Too bad I wasn't there recording it"
neutral,"Client consult in Valley Ranch, then home to work some more"
sad,My dreams have been crushed...Spock does not like the ladies.
sad,is missing the fun she had with @Sylars_Army at Eclipse 3  #SArmy #SArmy #SArmy
sad,http://twitpic.com/67wb4 - Gotta a show on Monday at 9.... hopefully my head will be better by then....
sad,Okay i feel really sick now
sad,@glennbeck Missed your show tonight   Just HAD to go up to Lake Erie and enjoy the quiet!
sad,"I've been to Rome, Italy. I love it there. Elegance, style. Very difficult to live in Chicago. No elegance here. Sad."
neutral,i just learned the hard way that FireWire 800 isn't backwards compatible with FireWire 400
sad,ended up face to face with a bear on 181 driving home this evening.  Sadly he took off into the woods before i hauled out my cameraphone
amazed,MegaMan 2.5D... wow! Capcom please don't chuck a 'Square-Enix' and put a Cease and Desist order on this project
neutral,"lady is clean now, im going to calexico in a moment, i have so much things to do today, and i wanna go and watch the hanna montana movie"
sad,i need to speak with @sofiedeville! but i left my phone at home
neutral,@Mashon96
happy,new favorite group has to be J*Davey Hi&amp;Low is my shit. why don't the really flygroups come to Miami hell Florida? And no Rock The Bells
happy,"@Candypants2 we did! They came out cold  The cheese sauce was good, though."
neutral,@samsmith2709 aww
happy,@coebooth Just got it a few hours ago! So not yet!
sad,I regret not going to the Movie audition today  Seems like my neighbors are gonna get a call back .  http://myloc.me/21RK
happy,"@jeanettesanchez lucky you, all we've had is rain in the city today  enjoy! ;)"
neutral,@american_eagle Why don't you ship it to Japan?
amazed,For those of you heading out of vancity I've heard the hwy is closed east bound at cwack
neutral,"everytime i go on threadless, it makes me sad because i probably wont buy any awesome shirts i see."
neutral,"@DJGigiDred I already seen am and jazzy I know they blew the roof off! Was supposed 2 go to pony party, I couldn't make it out last night"
sad,Fuuuuuuuudgeee I burned my finger with oil! It hurts
sad,This is dumb. I keep losing followers!
neutral,?sucks!?..
sad,big sis moved out 2day  its gna b weird without her! X
sad,@TheSvilleNews http://twitpic.com/67kb6 - Sad day!  What a great guy and enthusiastic teacher.
amazed,@kraez2001 http://twitpic.com/67w20 - Jordan baby was talking to me!!!! I wish I coulda met you!! ugh
sad,another friday night with nothing to do ...boyfriend works until 1am
neutral,@baldeggie I just changed the backgroung but now I have no profile ppicture
sad,Can't believe preseason doesn't start until August  football with drawls..
happy,"@bjolly086 Now, I can't call your kitten by its new name, because Ryan makes fun of the way I say kitten."
happy,@iliveinbetween i graduate at 9am on Sunday June 14th...
sad,"@rosegraymusic Tuned to listen, but had a 1:30 meeting. Now know that my high school/college French doesn't cut it anymore."
neutral,"@madpierrot im sure  s'okay, ill save my $$ and before u know it weiss will be mine."
neutral,"@hothusband_01 here is winter, but not snow"
happy,"... I want to die. I want to TAKE my own life, forever. She's trying to get me to do a duet."
neutral,Missing everybody  http://myloc.me/21S1
sad,Home. Got some nice plugs but no chipotle
happy,Having internet access on board means I can see what bad weather we are flying into   http://bit.ly/h14Tw
amazed,my sister just ripped my heart outta myy fukkn chest.  im super hurt right now. she's all i ever needed in this life.
neutral,@selenagomez do u ever answer ur fans on here?? i wish u would. i have a question i've been wanting to ask u for months
neutral,It would be that Dover race that they played on Classic.
sad,aleesha's piggy died  she can't catch a fucking break man
amazed,stopped for coffee at Maryland rest area; so did at least five entire middle schools; just my luck
amazed,cannot believe someone smashed my car window and stole my laptop  they obviously dont have a mum!!!
neutral,left my phone at home and wont get it back till 4am. dont call me!!
sad,"I had a realization today, and it made me sad  But at least the healing can begin."
amazed,"@dougiemcfly get better omg i still dont believe that i didn'tgot a picture with you  it's soo sad, i don't now when i'm gonna see u again"
sad,@cohenster i know its awful  but never fear i've got loads of funds so we can have a drunken catch up post-exams ja?
neutral,"Two months ago, I became worthless."
happy,@catrionat7 Yes yes Is. Ima Guna Be On For a While Lol.
sad,@marsacademy *HUGS you*  awwww......i'm sorry you are feeling sad E!
sad,@emmaroo INNERCHILD!SARAH LIKES COOKIES AND IS SAD THAT YOU FEEL SAD AND GUILTY
sad,@no_surprises unfortunately yes
sad,Sum1 plz cheer me up
sad,@selenagomez come back to canada soon  we'll miss you!!
sad,@writeinink sure i can talk....the fabulous sex part though is out  sorry dear
neutral,"@babyjidesign: what a cute pic of the girls, and so vibrant.  I didn't get anything cpeven close."
sad,@natsolovelyx3: I knowww yur mother is being a bitch and she doesn't want to take me to the movies  bitch
neutral,@thelongmile I was about the followfriday you back and it turned to saturday  Theres always next week! Any movements on the photo site?
sad,@drbri I'm not sure as I've never used it. Sorry
neutral,@Jenty late reply again! I have Tweetdeck.  Just always have to logged onto my work account   and forget to check my personal account.
happy,7pm and I'm just now leaving my desk.  And just last week I was on a safari. My how time flies.  What's good for the weekend? JBII
sad,@Kdpartak the ordered me a new blackberry to arrive TUES! I may die between now and them without phone  I have withdraws already
neutral,Confused about Twitter  everyone on Twitter follow me!
happy,@ToxicSociopath awww. well before we know it youll be back visiting XD we will hang out constantly and have another heartbreaking goodbye
sad,"@tellie_jean Now that I think about it, when I get to the States, they'll probably still be touring, so they won't be there  Dammit!"
sad,@mattpicasso iPhone is doing that &quot;not opening downloaded apps&quot; thing and I forgot my cord at home
neutral,i have poop on my shirt and a insanely cracked screen on my iphone. daaaang.
sad,oh and #antiboyle didn't work out either  never too much of a bad thing eh uk eh
sad,"@angel0712 Oh, I totally want to see Star Trek!  But Kristine had already seen it with her hubby."
amazed,Just realized all his fantastic nerdfriends no longer live in Rochester
sad,@CaitEggers I need one too.
neutral,@hollingsworth yum. Do you do home delivery
sad,Mrs.Bates left
amazed,Ecaytrade people who said you'd come by stuff at 6:30..where are you ? Bugs me when people no-show
sad,@robo__rob IKR. but i hate the lack of troyella  ggmow always makes me so sad
sad,how sad was Hollyoaks
amazed,@iamkiara__  im so sick  I fell over last night outside coz I was putting something in the bin
sad,Exhausted after a 58 hour work week
happy,@DirtyDizco Maaan if I wasnt in pain I'd come. I wanna come  eat some 4 me lol *rolls eyes*
sad,@AnalystAlterEgo i have bad news... i have to go take the dog for a walk--they're upset w/me!
sad,"Drat. All my land boots died at once. I think of boots like parsley- one going to seed, the other first season. What to do now?"
sad,Got out of work late. Lame! Busy day.
sad,@pcdnicole so sad u cancelled silverstone show  better see u in sandown park!
sad,"@iamsuperbianca Oh, and I went with my friend to MYOH last night but they ran out of tarsier pins. So sad. He was really cute."
neutral,I want to go see Up
neutral,"Now that I think about it, when I get to the States they'll probably still be touring so they won't be at home  Dammit!"
neutral,back to basics
sad,It's too hot!! Thermometer showing 25c at the moment
sad,@scopezum I feel the same way! 9 hours of sleep and still exhausted! ahh!
neutral,@AndrewMayne does it work on the iPhone as my MacBook is flat
neutral,Month end... still stuck in my office waiting for the stragglers to get there s#!t together.
sad,"Last day of the TV up-fronts w/ our colleagues from Sydney, Paris, London..."
neutral,@jimmylala i'd rather find out from experience :-/ ...but where are the stories?
sad,Feeling pretty tired and lonely
sad,@Susan_Ferman that's so weak!!  facebook fail
sad,"Panda express, it's been so long. I've missed you"
neutral,"Has got the slow cooker going, now just to get ready for work"
neutral,Listening to Broken by Lifehouse (on repeat)
sad,Just took $10 off a guy who thinks he can bluff three times in a row and get away with it. Now back to showing how shit my work is
neutral,@hellocuppycake no omelette today  dim sum tomorrow! FEAST!
happy,im full. i had a tripple thick chocolate milkshake from mcdonalds now i feel sick
neutral,"@richardescobar  Ok, just noticed it is in theatres now - don't know when it's showing in Vancouver though"
sad,: doc said my bones look &quot;fine enough.&quot; also should see a rhumatologist. I'm such am old lady now
sad,"... And, I was the only person who stood up for them. The world is full if spineless cunts. This makes me sad"
happy,@celebritystatus wifeyyyyyy  me no likey u siky
sad,tried to swat a fly with my Buddhist magazine... bad karma
happy,@doodleworld  Thx had a great day &amp; gonna have a long weekend.  Excited yet I'll be missin my tweeple badly.
neutral,@danipoynterjudd yeah but i missed it 2nite
sad,"I'm in tantra, anyone from kirki will know how sad this is, I'm drowning my sorrows ;)"
happy,hm i'm happy but i want to join drama practice today !
sad,"@JVB Thanks, I just found a article that say i cannot join you because i am in the UK though"
neutral,exam on active directory tomorrow.
neutral,"@itsSamaraMorgan Gosh, no need to be so rude."
neutral,"@HealthBeautyDr  btw ... my sister's all ready know this little fact.  My 2nd oldest sisters husband is a keeper, tho'.  Her, not so much"
amazed,"Just chillin' in pjs after a short, but long week - why is someone continually knocking at my door?"
amazed,"gooooooood night, cant believe tomoroo is cancelled!  but still gonna be a giid night, GNI cant beat them!"
sad,he was the reason i lived and now hes the reason im begging to die
sad,youtube not working
neutral,@StephenMulhern I'm absolutely jealous as hell of Brenda
amazed,@shereemcfly09 arrr bummer  who do you want to win?
happy,Still working in the database and trying to decide what I want to eat.
neutral,"@annie_escape awh, nooooo  i want a long update tooooo!"
sad,i feel sad for you elizabeth.
neutral,@alex_navarro I wish this area offered chinese food delivery
sad,to the people i was txting... sorry phone is dead and i can't resurrect it.  hopefully verizon will replace it and i'll it back by tonight
sad,Dosen't Want To Go To Work Tomorrow
happy,"@wildcurl7888  Well, I still can't wait for the one shot."
sad,Wish I could be heading to LA for E3.  *le sigh* Maybe someday.
neutral,@mitchelmusso i couldnt call you because the time on my phone would run out  so if you can give me a shoutout on here i will be happy
amazed,@missuzliipzlive ilooked in my phone book and ur name was the first to show and i was like i got ti-ti number but it was just ur email
amazed,It was my fault for leaving my flip-flops outside my locker while swimming at USF Koret but why oh why would you want to take 'em? #R2IMT
sad,...No more adventure time
sad,i miss you
sad,"Uggh everything, I'm sending you!!! I keep sending it to my Twitter. So I have to forward it to you!!! I suck at life"
amazed,@Bensabeast Whaaaat?!?!?  When did that happen?
sad,I got into a fight with the pavement. I think it won  poor little knee
sad,Had to stay home while my wife takes my daughter and a few friends out to Tokyo Steak House - sadly my body is not cooperating today
amazed,"*sniff sniff* I want thie App for my iPhone but it's only in America. Free Anime, Games shows and more for you iPhone = Win. But no UK ="
sad,This &quot;Monarchy&quot; is gonna bleed ALL of us dry! We are nothing more than slaves to the pigs in D.C. I don't reconize my country anymore!
neutral,@jimsissy end count  *hangs head lower*
neutral,"Right folks, really must go now; have to babysit my nephew in the morning. Another early start. No Twilight time  Nare mind. Nightall. X"
sad,staying at home. unpacking!!!! crap!
neutral,was late
neutral,"Hi, my name is Kate and I'm addicted to mm's!"
neutral,getting dinner ready not much going on in my life it seems
neutral,Need dayquil
sad,@summerkristine i want you to go walking with me!! but i still miss my satan
neutral,"@lorrieb5 did you see the 15 sec clip of the New Moon trailer?? its up on ETonline.com ...check it out. its a big tease, though"
happy,Jeff was right! Call of Duty pwns. Now i just gotta figure out what to do with this xtra copy of Wolvarine I bought earlier this week.
sad,I'm either always on the train or at work
amazed,I also found out that it's also my last youth group meeting
neutral,counting down the hours until I can finally drink this blossom hill  stupid work
sad,I have to go to work.
neutral,@Mrgetmoneyent ahhhhh from work
neutral,I have assignment due by midnight in professional writing class &amp; I really wish I was already done with it Luv writing thought Id like it
neutral,@southbel took my computer in for a new dvd drive &amp; screen wouldn't come back on  Had to order new computer &amp; wait...
amazed,"It's 20:50 hs and i'm still at the office...really tired,wanna go home!"
neutral,@Bnever oh darn i'm not in london
sad,head hurt
neutral,My preorder of the Razer Sphex shipped today. I'll be paying to review it because Razer is ignoring my emails
sad,@Impala_Guy Would luv to hear music too but iï¿½m out of batteries - the tv plays besides but i think this is some kind of vampire movie
sad,1) Traffic is lame 2) No matter how hard I try I can't get anywhere on time   3) UP Movie!!!!! Yay!
neutral,See that traffic northbound? That's my commute   http://twitpic.com/67x74
sad,Its summer and no one has texted/called me. Im a loner
neutral,@gay_emo_zac haha... I wouldn't be surprised... The few cute ones here are either taken or straight...
amazed,@no_surprises no it's not ready
amazed,THIS twitter is driving me nuts...WONT LET ME DOWNLOAD A PROFILE PIC!! ...guess i'll keep trying!!
sad,Killer headache  I want my food to be here!
neutral,@rmwiley i feel you girl
neutral,@angelealain  Hope you get to spend the weekend at home.
sad,http://twitpic.com/67x7n - MISS THEM ALREADY
neutral,@POPPORNBLOG ouch  does picking your nose count?
neutral,@Amalari  I do not mean to laugh but a little giggle did come out - sorry
sad,"Sad I missed @tylerhwilliams going away party due to too much work, but I really am gonna miss that kid"
sad,"slept in, missed bus, train delayed, doesn't stop at my stop, late for work. fucking heelllll"
sad,why must the weather b so nice and then so bad all in 1 minute
neutral,about to rehearse...starving!!!
sad,"can't find my trusty hair tie  My hair will spill all over the place when I run!Mom's bands doesn't work for me,normal ones hurt.((("
neutral,Juast got home... and I have to leave again!!!  BRB!!!
amazed,It's a really warm day in Seattle! My reeses chocolate is melting!!!
sad,"ugh gone through 2 new phones and now my screen is black, which means no texting"
neutral,ARGH!! watching batman
sad,My mouth hurts. Wish I could cut my head off
sad,selling my drumset  sad day
happy,"today was GOOD  , that little girl hollie in bgt , just me or complete sympahty vote  ! how cute is aidan davis :L? tweet me  x"
neutral,@chaselongbeach at least she doesnt try to violently hump you like my (female) dog does
happy,"@bztak1020 actually, my friend gave me the files today! lol but those are all CDA files... do u know how to convert them to MP3?"
sad,"omg, NO ICECREAM"
sad,@SimpleMia Yes. Need to listen to sad SP-Songs
sad,I got up early to pay bills. I figured its like a bandaid if I get it over quickly it won't be so bad... I was wrong
neutral,@calvinharris i wannabe in dubai
neutral,going to jack's tribute match today
neutral,"@robluketic Shoot, Rob I missed it. Just got home."
